questions,keys,datadic,col_name,assessment,domains,measures
68. Screams a lot,CBCL_68,CBCL,"CBCL,CBCL_68",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"69. Secretive, keeps things to self",CBCL_69,CBCL,"CBCL,CBCL_69",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
70. Sees things that aren't there,CBCL_70,CBCL,"CBCL,CBCL_70",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
71. Self-conscious or easily embarrassed,CBCL_71,CBCL,"CBCL,CBCL_71",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
72. Sets fires,CBCL_72,CBCL,"CBCL,CBCL_72",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
73. Sexual problems,CBCL_73,CBCL,"CBCL,CBCL_73",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
74. Showing off or clowning,CBCL_74,CBCL,"CBCL,CBCL_74",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
75. Too shy or timid,CBCL_75,CBCL,"CBCL,CBCL_75",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
76. Sleeps less than most kids,CBCL_76,CBCL,"CBCL,CBCL_76",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
77. Sleeps more than most kids during day and/or night,CBCL_77,CBCL,"CBCL,CBCL_77",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
78. Inattentive or easily distracted,CBCL_78,CBCL,"CBCL,CBCL_78",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
79. Speech problem,CBCL_79,CBCL,"CBCL,CBCL_79",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
80. Stares blankly,CBCL_80,CBCL,"CBCL,CBCL_80",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
81. Steals at home,CBCL_81,CBCL,"CBCL,CBCL_81",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
82. Steals outside the home,CBCL_82,CBCL,"CBCL,CBCL_82",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
83. Stores up too many things he/she doesn't need,CBCL_83,CBCL,"CBCL,CBCL_83",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
84. Strange behavior,CBCL_84,CBCL,"CBCL,CBCL_84",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
85. Strange ideas,CBCL_85,CBCL,"CBCL,CBCL_85",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"86. Stubborn, sullen, or irritable",CBCL_86,CBCL,"CBCL,CBCL_86",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
87. Sudden changes in mood or feelings,CBCL_87,CBCL,"CBCL,CBCL_87",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
88. Sulks a lot,CBCL_88,CBCL,"CBCL,CBCL_88",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
89. Suspicious,CBCL_89,CBCL,"CBCL,CBCL_89",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
90. Swearing or obscene language,CBCL_90,CBCL,"CBCL,CBCL_90",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
91. Talks about killing self,CBCL_91,CBCL,"CBCL,CBCL_91",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
92. Talks or walks in sleep,CBCL_92,CBCL,"CBCL,CBCL_92",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
93. Talks too much,CBCL_93,CBCL,"CBCL,CBCL_93",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
94. Teases a lot,CBCL_94,CBCL,"CBCL,CBCL_94",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
95. Temper tantrums or hot temper,CBCL_95,CBCL,"CBCL,CBCL_95",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
96. Thinks about sex too much,CBCL_96,CBCL,"CBCL,CBCL_96",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
97. Threatens people,CBCL_97,CBCL,"CBCL,CBCL_97",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
98. Thumb-sucking,CBCL_98,CBCL,"CBCL,CBCL_98",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"99. Smokes, chews, or sniffs tobacco",CBCL_99,CBCL,"CBCL,CBCL_99",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
100. Trouble sleeping,CBCL_100,CBCL,"CBCL,CBCL_100",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"101. Truancy, skips school",CBCL_101,CBCL,"CBCL,CBCL_101",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"102. Underactive, slow moving, or lacks energy",CBCL_102,CBCL,"CBCL,CBCL_102",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"103. Unhappy, sad, or depressed",CBCL_103,CBCL,"CBCL,CBCL_103",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
104. Unusually loud,CBCL_104,CBCL,"CBCL,CBCL_104",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
105. Uses drugs for nonmedical purposes (don't include alcohol or tobacco),CBCL_105,CBCL,"CBCL,CBCL_105",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
106. Vandalism,CBCL_106,CBCL,"CBCL,CBCL_106",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
107. Wets self during the day,CBCL_107,CBCL,"CBCL,CBCL_107",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
108. Wets the bed,CBCL_108,CBCL,"CBCL,CBCL_108",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
109. Whining,CBCL_109,CBCL,"CBCL,CBCL_109",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
110. Wishes to be of opposite sex,CBCL_110,CBCL,"CBCL,CBCL_110",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"111. Withdrawn, doesn't get inolved with others",CBCL_111,CBCL,"CBCL,CBCL_111",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
112. Worries,CBCL_112,CBCL,"CBCL,CBCL_112",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
113A. Has other problem,CBCL_113A,CBCL,"CBCL,CBCL_113A",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
113B. Has other problem,CBCL_113B,CBCL,"CBCL,CBCL_113B",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
113C. Has other problem,CBCL_113C,CBCL,"CBCL,CBCL_113C",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Anxious/Depressed Raw Score,CBCL_AD,CBCL,"CBCL,CBCL_AD",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Anxious/Depressed T Score,CBCL_AD_T,CBCL,"CBCL,CBCL_AD_T",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Withdrawn/Depressed Raw Score,CBCL_WD,CBCL,"CBCL,CBCL_WD",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Withdrawn/Depressed T Score,CBCL_WD_T,CBCL,"CBCL,CBCL_WD_T",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Somatic Complaints Raw Score,CBCL_SC,CBCL,"CBCL,CBCL_SC",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Somatic Complaints T Score,CBCL_SC_T,CBCL,"CBCL,CBCL_SC_T",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Social Problems Raw Score,CBCL_SP,CBCL,"CBCL,CBCL_SP",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Social Problems T Score,CBCL_SP_T,CBCL,"CBCL,CBCL_SP_T",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Thought Problems Raw Score,CBCL_TP,CBCL,"CBCL,CBCL_TP",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Thought Problems T Score,CBCL_TP_T,CBCL,"CBCL,CBCL_TP_T",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Attention Problems Raw Score,CBCL_AP,CBCL,"CBCL,CBCL_AP",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Attention Problems T Score,CBCL_AP_T,CBCL,"CBCL,CBCL_AP_T",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Rule Breaking Behavior Raw Score,CBCL_RBB,CBCL,"CBCL,CBCL_RBB",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Rule Breaking Behavior T Score,CBCL_RBB_T,CBCL,"CBCL,CBCL_RBB_T",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Aggressive Behavior Raw Score,CBCL_AB,CBCL,"CBCL,CBCL_AB",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Aggressive Behavior T Score,CBCL_AB_T,CBCL,"CBCL,CBCL_AB_T",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Other Problems Raw Score,CBCL_OP,CBCL,"CBCL,CBCL_OP",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Internalizing Raw Score,CBCL_Int,CBCL,"CBCL,CBCL_Int",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Internalizing T Score,CBCL_Int_T,CBCL,"CBCL,CBCL_Int_T",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Externalizing Raw Score,CBCL_Ext,CBCL,"CBCL,CBCL_Ext",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Externalizing T Score,CBCL_Ext_T,CBCL,"CBCL,CBCL_Ext_T",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
C Score Raw Score,CBCL_C,CBCL,"CBCL,CBCL_C",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Total Raw Score,CBCL_Total,CBCL,"CBCL,CBCL_Total",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
Total T Score,CBCL_Total_T,CBCL,"CBCL,CBCL_Total_T",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"""1. Aches or pains (without medical cause do not include stomach or headaches)""",CBCL_Pre_01,CBCL_Pre,"CBCL_Pre,CBCL_Pre_01",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
2. Acts too young for age,CBCL_Pre_02,CBCL_Pre,"CBCL_Pre,CBCL_Pre_02",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
3. Afraid to try new things,CBCL_Pre_03,CBCL_Pre,"CBCL_Pre,CBCL_Pre_03",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
4. Avoids looking others in the eye,CBCL_Pre_04,CBCL_Pre,"CBCL_Pre,CBCL_Pre_04",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"5. Can't concentrate, can't pay attention for long",CBCL_Pre_05,CBCL_Pre,"CBCL_Pre,CBCL_Pre_05",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"6. Can't sit still, restless, or hyperactive",CBCL_Pre_06,CBCL_Pre,"CBCL_Pre,CBCL_Pre_06",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
7. Can't stand having things out of place,CBCL_Pre_07,CBCL_Pre,"CBCL_Pre,CBCL_Pre_07",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"""8. Can't stand waiting wants everything now""",CBCL_Pre_08,CBCL_Pre,"CBCL_Pre,CBCL_Pre_08",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
9. Chews on things that aren't edible,CBCL_Pre_09,CBCL_Pre,"CBCL_Pre,CBCL_Pre_09",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
10. Clings to adults or too dependent,CBCL_Pre_10,CBCL_Pre,"CBCL_Pre,CBCL_Pre_10",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
11. Constantly seeks help,CBCL_Pre_11,CBCL_Pre,"CBCL_Pre,CBCL_Pre_11",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"12. Constipated, doesn't move bowels (when not sick)",CBCL_Pre_12,CBCL_Pre,"CBCL_Pre,CBCL_Pre_12",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
13. Cries a lot,CBCL_Pre_13,CBCL_Pre,"CBCL_Pre,CBCL_Pre_13",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
14. Cruel to animals,CBCL_Pre_14,CBCL_Pre,"CBCL_Pre,CBCL_Pre_14",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
15. Defiant,CBCL_Pre_15,CBCL_Pre,"CBCL_Pre,CBCL_Pre_15",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
16. Demands must be met immediately,CBCL_Pre_16,CBCL_Pre,"CBCL_Pre,CBCL_Pre_16",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
17. Destroys his/her own things,CBCL_Pre_17,CBCL_Pre,"CBCL_Pre,CBCL_Pre_17",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
18. Destroys things belonging to his/her family or other children,CBCL_Pre_18,CBCL_Pre,"CBCL_Pre,CBCL_Pre_18",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
19. Diarrhea or loose bowels (when not sick),CBCL_Pre_19,CBCL_Pre,"CBCL_Pre,CBCL_Pre_19",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
20. Disobedient,CBCL_Pre_20,CBCL_Pre,"CBCL_Pre,CBCL_Pre_20",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
21. Disturbed by any change in routine,CBCL_Pre_21,CBCL_Pre,"CBCL_Pre,CBCL_Pre_21",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
22. Doesn't want to sleep alone,CBCL_Pre_22,CBCL_Pre,"CBCL_Pre,CBCL_Pre_22",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
23. Doesn't answer when people walk to him/her,CBCL_Pre_23,CBCL_Pre,"CBCL_Pre,CBCL_Pre_23",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
24. Doesn't eat well (describe):,CBCL_Pre_24,CBCL_Pre,"CBCL_Pre,CBCL_Pre_24",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
25. Doesn't get along with other children,CBCL_Pre_25,CBCL_Pre,"CBCL_Pre,CBCL_Pre_25",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"""26. Doesn't know how to have fun acts like a little adult""",CBCL_Pre_26,CBCL_Pre,"CBCL_Pre,CBCL_Pre_26",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
27. Doesn't seem to feel guilty after misbehaving,CBCL_Pre_27,CBCL_Pre,"CBCL_Pre,CBCL_Pre_27",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
28. Doesn't want to go out of home,CBCL_Pre_28,CBCL_Pre,"CBCL_Pre,CBCL_Pre_28",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
29. Easily frustrated,CBCL_Pre_29,CBCL_Pre,"CBCL_Pre,CBCL_Pre_29",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
30. Easily jealous,CBCL_Pre_30,CBCL_Pre,"CBCL_Pre,CBCL_Pre_30",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
31. Eats or drinks things that are not food-- don't include sweets (describe):,CBCL_Pre_31,CBCL_Pre,"CBCL_Pre,CBCL_Pre_31",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"32. Fears certain animals, situations, or places (describe):",CBCL_Pre_32,CBCL_Pre,"CBCL_Pre,CBCL_Pre_32",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
33. Feelings are easily hurt,CBCL_Pre_33,CBCL_Pre,"CBCL_Pre,CBCL_Pre_33",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"34. Gets hurt a lot, addicent-prone",CBCL_Pre_34,CBCL_Pre,"CBCL_Pre,CBCL_Pre_34",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
35. Gets in many fights,CBCL_Pre_35,CBCL_Pre,"CBCL_Pre,CBCL_Pre_35",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
36. Gets into everything,CBCL_Pre_36,CBCL_Pre,"CBCL_Pre,CBCL_Pre_36",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
37. Gets too upset when separated from parents,CBCL_Pre_37,CBCL_Pre,"CBCL_Pre,CBCL_Pre_37",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
38. Has trouble getting into sleep,CBCL_Pre_38,CBCL_Pre,"CBCL_Pre,CBCL_Pre_38",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
39. Headaches (without medical cause),CBCL_Pre_39,CBCL_Pre,"CBCL_Pre,CBCL_Pre_39",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
40. Hits others,CBCL_Pre_40,CBCL_Pre,"CBCL_Pre,CBCL_Pre_40",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
41. Holds his/her breath,CBCL_Pre_41,CBCL_Pre,"CBCL_Pre,CBCL_Pre_41",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
42. Hurts animals or people without meaning to,CBCL_Pre_42,CBCL_Pre,"CBCL_Pre,CBCL_Pre_42",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
43. Looks unhappy without good reason,CBCL_Pre_43,CBCL_Pre,"CBCL_Pre,CBCL_Pre_43",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
44. Angry moods,CBCL_Pre_44,CBCL_Pre,"CBCL_Pre,CBCL_Pre_44",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"45. Nausea, feels sick (without medical cause)",CBCL_Pre_45,CBCL_Pre,"CBCL_Pre,CBCL_Pre_45",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
46. Nervous movements or twitching (describe):,CBCL_Pre_46,CBCL_Pre,"CBCL_Pre,CBCL_Pre_46",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"47. Nervous, highstrung, or tense",CBCL_Pre_47,CBCL_Pre,"CBCL_Pre,CBCL_Pre_47",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
48. Nightmares,CBCL_Pre_48,CBCL_Pre,"CBCL_Pre,CBCL_Pre_48",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
49. Overeating,CBCL_Pre_49,CBCL_Pre,"CBCL_Pre,CBCL_Pre_49",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
50. Overtired,CBCL_Pre_50,CBCL_Pre,"CBCL_Pre,CBCL_Pre_50",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
51. Shows panic for no good reason,CBCL_Pre_51,CBCL_Pre,"CBCL_Pre,CBCL_Pre_51",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
52. Painful bowel movements (without medical cause),CBCL_Pre_52,CBCL_Pre,"CBCL_Pre,CBCL_Pre_52",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
53. Physically attacks people,CBCL_Pre_53,CBCL_Pre,"CBCL_Pre,CBCL_Pre_53",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"54. Picks nose, skin, or other parts of body (describe):",CBCL_Pre_54,CBCL_Pre,"CBCL_Pre,CBCL_Pre_54",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
55. Plays with own sex parts too much,CBCL_Pre_55,CBCL_Pre,"CBCL_Pre,CBCL_Pre_55",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
56. Poorly coordinated or clumsy,CBCL_Pre_56,CBCL_Pre,"CBCL_Pre,CBCL_Pre_56",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
57. Problems with eyes (without medical cause (describe):,CBCL_Pre_57,CBCL_Pre,"CBCL_Pre,CBCL_Pre_57",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
58. Punishment doesn't change his/her behavior,CBCL_Pre_58,CBCL_Pre,"CBCL_Pre,CBCL_Pre_58",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
59. Quickly shifts from one activity to another,CBCL_Pre_59,CBCL_Pre,"CBCL_Pre,CBCL_Pre_59",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
60. Rashes or other skin problems,CBCL_Pre_60,CBCL_Pre,"CBCL_Pre,CBCL_Pre_60",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
61. Refuses to eat,CBCL_Pre_61,CBCL_Pre,"CBCL_Pre,CBCL_Pre_61",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
62. Refuses to play active games,CBCL_Pre_62,CBCL_Pre,"CBCL_Pre,CBCL_Pre_62",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
63. Repeatedly rocks head or body,CBCL_Pre_63,CBCL_Pre,"CBCL_Pre,CBCL_Pre_63",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
64. Resists going to bed at night,CBCL_Pre_64,CBCL_Pre,"CBCL_Pre,CBCL_Pre_64",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
65. Resists toilet training (describe):,CBCL_Pre_65,CBCL_Pre,"CBCL_Pre,CBCL_Pre_65",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
66. Screams a lot,CBCL_Pre_66,CBCL_Pre,"CBCL_Pre,CBCL_Pre_66",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
67. Seems unresponsive to affection,CBCL_Pre_67,CBCL_Pre,"CBCL_Pre,CBCL_Pre_67",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
68. Self-conscious or easily embarrassed,CBCL_Pre_68,CBCL_Pre,"CBCL_Pre,CBCL_Pre_68",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
69. Selfish or won't share,CBCL_Pre_69,CBCL_Pre,"CBCL_Pre,CBCL_Pre_69",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
70. Shows little affection towards people,CBCL_Pre_70,CBCL_Pre,"CBCL_Pre,CBCL_Pre_70",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
71. Shows little interest in things around him/her,CBCL_Pre_71,CBCL_Pre,"CBCL_Pre,CBCL_Pre_71",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
72. Shows too little fear of getting hurt,CBCL_Pre_72,CBCL_Pre,"CBCL_Pre,CBCL_Pre_72",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
73. Too shy or timid,CBCL_Pre_73,CBCL_Pre,"CBCL_Pre,CBCL_Pre_73",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
74. Sleeps less than most kids during day and/or night (describe):,CBCL_Pre_74,CBCL_Pre,"CBCL_Pre,CBCL_Pre_74",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
75. Smears or plays with bowel movements,CBCL_Pre_75,CBCL_Pre,"CBCL_Pre,CBCL_Pre_75",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
76. Speech problem (describe),CBCL_Pre_76,CBCL_Pre,"CBCL_Pre,CBCL_Pre_76",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
77. Stares into space or seems preoccupied,CBCL_Pre_77,CBCL_Pre,"CBCL_Pre,CBCL_Pre_77",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
78. Stomachaches or cramps (without medical cause),CBCL_Pre_78,CBCL_Pre,"CBCL_Pre,CBCL_Pre_78",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
79. Rapid shifts between sadness and excitement,CBCL_Pre_79,CBCL_Pre,"CBCL_Pre,CBCL_Pre_79",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
80. Strange behavior (describe):,CBCL_Pre_80,CBCL_Pre,"CBCL_Pre,CBCL_Pre_80",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"81. Stubborn, sullen, or irritable",CBCL_Pre_81,CBCL_Pre,"CBCL_Pre,CBCL_Pre_81",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
82. Sudden changes in mood or feelings,CBCL_Pre_82,CBCL_Pre,"CBCL_Pre,CBCL_Pre_82",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
83. Sulks a lot,CBCL_Pre_83,CBCL_Pre,"CBCL_Pre,CBCL_Pre_83",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
84. Talks or cries out in sleep,CBCL_Pre_84,CBCL_Pre,"CBCL_Pre,CBCL_Pre_84",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
85. Temper tantrums or hot temper,CBCL_Pre_85,CBCL_Pre,"CBCL_Pre,CBCL_Pre_85",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
86. Too concerned with neatness or cleanliness,CBCL_Pre_86,CBCL_Pre,"CBCL_Pre,CBCL_Pre_86",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
87. Too fearful or anxious,CBCL_Pre_87,CBCL_Pre,"CBCL_Pre,CBCL_Pre_87",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
88. Uncooperative,CBCL_Pre_88,CBCL_Pre,"CBCL_Pre,CBCL_Pre_88",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"89. Underactive, slow moving, or lacks energy",CBCL_Pre_89,CBCL_Pre,"CBCL_Pre,CBCL_Pre_89",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"90. Unhappy, sad, or depressed",CBCL_Pre_90,CBCL_Pre,"CBCL_Pre,CBCL_Pre_90",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
91. Unusally loud,CBCL_Pre_91,CBCL_Pre,"CBCL_Pre,CBCL_Pre_91",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
92. Upset by new people or situations (describe):,CBCL_Pre_92,CBCL_Pre,"CBCL_Pre,CBCL_Pre_92",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
"93. Vomiting, throwing up (without medical cause)",CBCL_Pre_93,CBCL_Pre,"CBCL_Pre,CBCL_Pre_93",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
94. Wakes up often at night,CBCL_Pre_94,CBCL_Pre,"CBCL_Pre,CBCL_Pre_94",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
95. Wanders away,CBCL_Pre_95,CBCL_Pre,"CBCL_Pre,CBCL_Pre_95",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
96. Wants a lot of attention,CBCL_Pre_96,CBCL_Pre,"CBCL_Pre,CBCL_Pre_96",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
97.Whining,CBCL_Pre_97,CBCL_Pre,"CBCL_Pre,CBCL_Pre_97",Parent Measures,Demographic_Questionnaire_Measures,Child Behavior Checklist
